TALK,,File 14,,,
,,,,,
Character?,|,Comment,|,Correct answer?,|
Byleth M,|,I've always had strange dreams. You?,|,Reveal that you do too.,|
Byleth M,|,Jeralt's reputation took a big hit after you defeated us.,|,Suggest building it up again.,|
Byleth M,|,We live in an age of war—but I feel like that's what I'm suited to.,|,Express your doubt about that.,|
Byleth M,|,I took naturally to the sword from the first moment I held one.,|,Share your own first sword memory.,|
Byleth M,|,I hope all our allies survive this war.,|,Say you'll all pull through.,|
Byleth M,|,You're easy to fight for. Your commands are intuitive.,|,Say Byleth is better.,|
Byleth M,|,"I've had an immense appetite since I was small, but can also go days without eating a thing.",|,Say you feel the same way.,|
Byleth F,|,I've always had strange dreams. You?,|,Reveal that you do too.,|
Byleth F,|,Jeralt's reputation took a big hit after you defeated us.,|,Suggest building it up again.,|
Byleth F,|,We live in an age of war—but I feel like that's what I'm suited to.,|,Express your doubt about that.,|
Byleth F,|,I took naturally to the sword from the first moment I held one.,|,Share your own first sword memory.,|
Byleth F,|,I hope all our allies survive this war.,|,Say you'll all pull through.,|
Byleth F,|,You're easy to fight for. Your commands are intuitive.,|,Say Byleth is better.,|
Byleth F,|,"I've had an immense appetite since I was small, but can also go days without eating a thing.",|,Say you feel the same way.,|
Edelgard,|,"Though I don't see them, I know Hubert's people are out there somewhere, watching us.",|,Suggest you look for them.,|
Edelgard,|,"I thought outings like this were a noble pastime, but I see you're an expert at it as well.",|,Say that you're just acting like one.,|
Edelgard,|,Do you ever wish you could be completely and utterly alone? It is a daily dream for me.,|,Express concern for her.,|
Edelgard,|,The sun is so warm on my skin. I see why people pine for it so.,|,Say you're one of those people.,|
Edelgard,|,There are hunting grounds near Enbarr that the Imperial family uses for outings.,|,Invite her to hunt with you.,|
Edelgard,|,"Tell me if you see any pretty flowers. Not to pluck, mind you—just to admire.",|,Promise you will.,|
Edelgard,|,What are you thinking about? You look as if your mind is a dozen leagues away.,|,Say you're thinking about dinner.,|
Dimitri,|,Consider the terrain we're in. How would you assault a position such as this?,|,Say it depends on the situation.,|
Dimitri,|,I prefer not to name my horses if I can avoid it. Growing attached only makes their deaths more painful.,|,Say you understand how he feels.,|
Dimitri,|,"At times, I feel there must be some purpose to the strength I was born bearing.",|,Express your thoughts on the matter.,|
Dimitri,|,I'm not very comfortable around children. I never know quite what to say or how to act.,|,Help him think of things he can try.,|
Dimitri,|,I'd like to show you around Fhirdiad if the opportunity arises. I could introduce you to my old friends.,|,Say you're looking forward to it.,|
Dimitri,|,"I have seen much death, often dealt by my own hand. The idea that one can die with dignity is sadly nothing more than a myth.",|,Say he must always be ready for that.,|
Dimitri,|,Lady Rhea granted me some wisdom regarding land cultivation the other day. The breadth of her knowledge never ceases to amaze me.,|,Express interest.,|
Claude,|,You ever get this sudden urge to drop everything and go somewhere far away when work starts piling up?,|,Say you're OK because of Claude.,|
Claude,|,It's crucial to have a victory feast after a hard-won battle. That kind of ritual keeps people going.,|,Say you should have more feasts.,|
Claude,|,"The Five Great Lords are all pretty eccentric, but they're exceptionally capable all the same.",|,Question if he's being serious.,|
Claude,|,I'd love to wander around Derdriu with you someday if we ever get the chance. It's an amazing city.,|,Ask about what it's famous for.,|
Claude,|,"A lot of people think of foreigners as subhuman somehow, but they're the same flesh and blood as all the rest of us.",|,Say that it's what's inside that counts.,|
